차 이름,연식,키로수,가격
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/09식,"7,900km",렌트월83만원
테슬라 모델 Y 롱 레인지,22/12식,"15,000km","6,200만원"
테슬라 모델 3 롱 레인지,20/06식,"71,000km",렌트월89만원
폴스타 폴스타 2 롱레인지 싱글모터,22/07식,"60,024km","3,803만원"
쉐보레(GM대우) 올란도 LPG LT 컨비니언스팩,15/04식,"112,000km",720만원
포르쉐 타이칸 GTS,22/11식,"13,300km",리스월322만원
현대 LF 쏘나타 하이브리드 2.0 HEV 모던 스페셜,15/03식,"136,000km","1,080만원"
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/02식,"51,000km","3,390만원"
BMW i5 (G60) eDrive 40 M 스포츠 프로,23/12식,"4,500km",리스월138만원
테슬라 모델 3 스탠다드 레인지 플러스,19/11식,"57,000km","3,250만원"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,23/03식,"23,000km",렌트월146만원
렉서스 ES300h 7세대 럭셔리 플러스,23/02식,"34,600km","5,080만원"
테슬라 모델 X 롱 레인지,19/12식,"98,500km","6,850만원"
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/05식,"72,000km",리스월133만원
BMW 5시리즈 (G30) 530e M 스포츠,22/09식,"34,000km",리스월96만원
현대 아이오닉 일렉트릭 Q,19/08식,"92,500km","1,350만원"
현대 더 뉴 투싼 하이브리드 (NX4) HEV 1.6 2WD 프리미엄,23/02식,"27,000km",렌트월74만원
제네시스 일렉트리파이드 GV70 e-AWD,22/04식,"33,000km",렌트월141만원
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/05식,"31,000km","5,900만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/05식,"20,842km","4,290만원"
현대 아이오닉6 롱레인지 AWD 프레스티지,23/03식,"6,500km",렌트월85만원
렉서스 뉴 ES300h 슈프림+ XV60,18/06식,"76,000km","3,245만원"
현대 아이오닉5 롱레인지 AWD 익스클루시브,22/07식,"23,000km",렌트월72만원
테슬라 모델 Y 롱 레인지,23/06식,"10,000km","7,200만원"
현대 더 뉴 싼타페 HEV 1.6 2WD 익스클루시브,23/11식,"31,400km",렌트월89만원
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/10식,"7,420km","7,480만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,21/02식,"55,000km",리스월214만원
도요타 시에나 4세대 2.5 하이브리드 2WD,22/03식,"56,000km","5,180만원"
BMW X5 (G05) xDrive 45e M 스포츠,22/02식,"32,500km",리스월132만원
기아 더 뉴 카니발 4세대 HEV 9인승 노블레스,24/04식,800km,렌트월74만원
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/03식,"46,700km","3,580만원"
테슬라 모델 3 스탠다드 레인지 플러스,22/09식,"20,000km","3,900만원"
볼보 XC60 2세대 T8 인스크립션,21/05식,"16,870km","6,300만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,23/05식,"18,063km",렌트월65만원
현대 투싼 하이브리드 (NX4) N Line 2WD 인스퍼레이션,22/01식,"34,000km","3,500만원"
기아 EV6 롱레인지 에어,21/10식,"43,000km","3,100만원"
기아 디 올 뉴 니로 시그니처,23/03식,"18,450km",렌트월68만원
BMW 5시리즈 (G30) 530e M 스포츠,20/12식,"27,556km",리스월1만원
기아 K5 LPI 디럭스,13/03식,"178,968km",440만원
BMW 3시리즈 (G20) 330e M 스포츠,23/01식,"17,700km",리스월101만원
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,20/08식,"28,000km",리스월44만원
기아 스포티지 5세대 하이브리드 시그니처 그래비티 2WD,23/07식,"8,000km",렌트월59만원
BMW 7시리즈 (G11) 745Le i퍼포먼스 M 스포츠,22/07식,"37,700km",리스월194만원
BMW iX3 M 스포츠,23/09식,"10,200km","6,200만원"
테슬라 모델 3 퍼포먼스,22/06식,"22,600km",리스월95만원
기아 더 뉴 K5 LPI 디럭스,15/01식,"99,960km",670만원
기타 제조사 기타 기타 전기차,20/11식,"17,000km",280만원
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/04식,"53,000km","2,600만원"
르노코리아(삼성) SM7 노바 LPLI 2.0 LPe 장애인용,16/07식,"113,700km",790만원
현대 더 뉴 그랜저 IG 하이브리드 르블랑,21/09식,"39,000km",렌트월61만원
테슬라 모델 X AWD,23/06식,"21,800km",리스월197만원
벤츠 EQE V295 EQE350 4MATIC,23/12식,"6,900km",리스월111만원
르노코리아(삼성) SM3 Z.E. SE,18/04식,"88,228km",800만원
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/04식,"32,260km",렌트월68만원
아우디 Q4 e-트론 40 프리미엄 스포트백,22/11식,"14,500km",리스월87만원
BMW iX3 M 스포츠,22/07식,"49,000km","4,600만원"
기아 스포티지 5세대 하이브리드 노블레스 2WD,24/01식,"5,010km",렌트월57만원
기아 더 뉴 K5 LPI 럭셔리,14/04식,"192,500km",650만원
포르쉐 타이칸 베이스,22/02식,"29,142km",리스월209만원
렉서스 CT200h 1.8 컴팩트 럭셔리 ZWA10,11/02식,"190,000km",899만원
BMW i4 eDrive40 M 스포츠,23/10식,"14,000km",리스월86만원
기아 EV9 에어 4WD,24/03식,"1,399km","6,740만원"
현대 그랜저 IG 하이브리드 익스클루시브 (세부등급 없음),18/07식,"96,829km","2,300만원"
기아 EV6 롱레인지 GT Line,22/04식,"31,413km",리스월51만원
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/07식,"16,000km",렌트월94만원
기타 제조사 기타 기타 전기차,20/11식,"57,000km",700만원
르노코리아(삼성) 뉴SM5 플래티넘 LPLI 택시렌터카 고급형,13/03식,"100,800km",410만원
테슬라 모델 3 롱 레인지,22/09식,"19,512km","4,800만원"
아우디 Q4 e-트론 40 프리미엄,23/11식,"5,500km",리스월100만원
기아 레이 EV,12/12식,"29,500km",590만원
볼보 S90 T8 AWD 얼티메이트 브라이트,22/12식,"27,000km","6,700만원"
테슬라 모델 Y 롱 레인지,21/09식,"52,580km","5,900만원"
테슬라 모델 X 롱 레인지,23/06식,"14,000km",리스월172만원
도요타 캠리 (XV70) 2.5 XLE 하이브리드,21/09식,"46,000km",리스월73만원
테슬라 모델 3 롱 레인지,22/05식,"42,000km","4,600만원"
렉서스 ES300h 7세대 럭셔리 플러스,23/05식,"25,000km","5,400만원"
BMW i8 쿠페,15/12식,"96,000km","6,750만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/03식,"11,395km","15,500만원"
아우디 Q4 e-트론 40 프리미엄,22/10식,"38,600km","4,490만원"
벤츠 EQS V297 EQS350,22/07식,"10,300km","8,700만원"
기아 K8 하이브리드 시그니처 스페셜,23/06식,"8,300km","4,500만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,22/02식,"38,000km",리스월206만원
기아 더 뉴 쏘렌토 4세대 HEV 1.6 2WD 프레스티지,23/07식,"13,000km",렌트월69만원
현대 아이오닉 일렉트릭 Q,17/04식,"137,900km","1,070만원"
쉐보레(GM대우) 뉴 라보 SUPER,15/12식,"49,880km",480만원
현대 투싼 하이브리드 (NX4) 인스퍼레이션 2WD,23/12식,"4,500km","3,500만원"
포르쉐 타이칸 베이스,23/12식,"3,500km",리스월174만원
르노코리아(삼성) 뉴SM5(신형) LPLI LE,11/08식,"144,000km",230만원
르노코리아(삼성) SM5 LPG,05/07식,"276,459km",120만원
렉서스 ES300h 7세대 이그제큐티브,19/04식,"59,000km","4,300만원"
테슬라 모델 3 롱 레인지,22/03식,"65,000km","4,200만원"
아우디 Q4 e-트론 40 프리미엄 스포트백,23/12식,13km,"5,690만원"
BMW X5 (G05) xDrive 50e xLine,24/02식,"4,000km",리스월159만원
테슬라 모델 Y 롱 레인지,22/05식,"38,900km",렌트월144만원
테슬라 모델 Y 롱 레인지,22/08식,"33,300km",렌트월81만원
현대 더 뉴 싼타페 HEV 1.6 2WD 프레스티지,22/05식,"15,800km","3,500만원"
포르쉐 타이칸 4S,21/01식,"35,000km","12,200만원"
기아 디 올 뉴 니로 시그니처,22/03식,"35,500km","2,870만원"
현대 YF 쏘나타 LPI 디럭스,10/10식,"220,486km",440만원
현대 그랜저 IG 3.0 LPI 택시형 모범형,18/06식,"235,000km","1,130만원"
테슬라 모델 3 스탠다드 레인지 플러스,20/03식,"155,000km","2,690만원"
테슬라 모델 X 롱 레인지,20/10식,"160,000km","7,200만원"
쉐보레(GM대우) 스파크 LPG L,12/10식,"119,500km",380만원
쉐보레(GM대우) 뉴 다마스 2인승 판넬밴 DLX,15/03식,"81,226km",430만원
현대 아이오닉 일렉트릭 Q,17/05식,"99,736km","1,450만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,22/06식,"25,618km","3,800만원"
현대 그랜저 뉴 럭셔리 LPI Q270 팩1,09/10식,"235,000km",230만원
현대 아이오닉5 N,23/12식,"7,974km","6,650만원"
현대 더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,20/10식,"56,000km",렌트월59만원
미니 쿠퍼 일렉트릭 젠 ZE 에디션 1세대,22/06식,"7,623km",리스월45만원
BMW i8 쿠페,16/12식,"121,000km","6,200만원"
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/02식,"17,000km",렌트월77만원
인피니티 Q50 3.5 블루 스포츠 센서리,17/11식,"74,500km","1,899만원"
KG모빌리티(쌍용) 토레스 EVX E7,23/11식,"10,960km","3,820만원"
찜하기,현대 코나 하이브리드 모던 스페셜,19/10식,서울
현대 쏘나타 하이브리드 2.0 프리미어,12/09식,"138,904km",490만원
기아 스포티지 5세대 하이브리드 프레스티지 2WD,22/05식,"21,100km",렌트월67만원
벤츠 EQS V297 EQS450+ AMG 라인,22/10식,"35,000km",리스월171만원
현대 갤로퍼 2 9인승 V6 LPG,99/09식,"251,959km",620만원
포르쉐 타이칸 베이스,22/02식,"21,500km",리스월220만원
쉐보레(GM대우) 스파크 LPG LT 기본형,14/07식,"202,380km",200만원
테슬라 모델 3 롱 레인지,22/03식,"30,000km",리스월73만원
기아 EV6 롱레인지 에어,21/12식,"83,000km",렌트월65만원
기아 더 뉴 K5 LPI 디럭스,15/01식,"157,636km",585만원
도요타 캠리 하이브리드,11/04식,"132,585km",690만원
폴스타 폴스타 2 롱레인지 싱글모터,22/08식,"47,801km","3,300만원"
기아 스포티지 5세대 하이브리드 프레스티지 2WD,23/06식,"20,000km",렌트월61만원
기아 EV6 롱레인지 어스,21/09식,"35,000km",렌트월76만원
벤츠 EQS V297 EQS450+ AMG 라인,22/09식,"23,000km",리스월230만원
기아 올 뉴 K7 하이브리드 노블레스,19/02식,"174,000km","1,490만원"
도요타 시에나 4세대 2.5 하이브리드 AWD,23/05식,"13,268km","6,280만원"
포르쉐 타이칸 베이스,22/02식,"45,000km",리스월189만원
현대 코나 일렉트릭 모던,20/12식,"135,500km","1,690만원"
기아 더 프레스티지 K7 LPI 3.0 프레스티지,11/12식,"123,000km",720만원
현대 코나 일렉트릭 프리미엄,18/06식,"182,500km","1,500만원"
렉서스 뉴 ES300h 슈프림 XV60,15/05식,"69,440km","2,300만원"
현대 아이오닉 일렉트릭 Q,17/01식,"141,050km","1,000만원"
렉서스 NX350h 2세대 럭셔리,22/10식,"23,000km","6,550만원"
벤츠 EQE V295 EQE350 4MATIC,23/09식,"22,741km","7,100만원"
렉서스 ES300h 7세대 럭셔리 플러스,23/05식,"17,720km","5,300만원"
아우디 RS e-트론 GT GT RS,21/12식,203km,리스월335만원
기아 니로 EV 노블레스,19/06식,"126,000km","1,960만원"
테슬라 모델 3 롱 레인지,20/02식,"117,000km",리스월86만원
기아 더 뉴 기아 레이 EV 밴 2인승 라이트,23/11식,"2,140km",렌트월44만원
테슬라 모델 Y 퍼포먼스,22/12식,"10,500km","9,000만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/12식,"20,000km","9,999만원"
아우디 Q4 e-트론 40,22/10식,"38,000km",리스월88만원
기아 EV6 롱레인지 4WD 어스,21/10식,"92,000km",렌트월82만원
테슬라 모델 S 롱 레인지,20/11식,"53,000km","7,150만원"
테슬라 모델 Y 롱 레인지,21/05식,"57,605km","5,200만원"
승계지원금 1000만원,아우디 e-트론 50 콰트로,22/05식,인천
"1인 소유, 비흡연, 전기주행 45%, 카이엔 최강 가성비 옵션",포르쉐 카이엔 (PO536) 3.0 E-하이브리드,21/02식,전북
"1인소유,운용리스,전체PPF,무사고,실내주차,세라믹브레이크 옵션",포르쉐 타이칸 4S 크로스 투리스모,23/03식,서울
�I은계약기간/지원금200만원/풍부한옵션/신차그대로,기아 스포티지 5세대 하이브리드 노블레스 2WD,24/01식,경기
솔라가드 하이엔드등급 필름과 650만원상당 전체무광ppf 시공,포르쉐 타이칸 베이스,22/02식,경기
고칠때가없는전기차 아주좋습니다,테슬라 모델 X 롱 레인지,19/12식,전북
24년형k8 시그니처스페셜풀옵션1인여성금연차량매주손세차차량굿,기아 K8 하이브리드 시그니처 스페셜,23/11식,대전
"무사고, 옵션 풍부, 준 풀옵션, 1인 신조",제네시스 일렉트리파이드 GV70 e-AWD,22/04식,서울
무사고 브라운시트 여대생통학용차량으로 상태최상,벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/10식,서울
최저가 리스강조 비흡연차량,BMW 5시리즈 (G30) 530e M 스포츠,22/09식,인천
BMW i8 로드스터,19/08식,"43,500km",리스월35만원/18개월
포르쉐 타이칸 4S 크로스 투리스모,23/03식,"5,500km",리스월321만원/47개월
테슬라 모델 S 롱 레인지,20/12식,"45,000km",리스월123만원/19개월
아우디 Q4 e-트론 40 프리미엄,23/11식,12km,리스월2만원/57개월
아우디 Q4 e-트론 40 프리미엄,22/10식,"15,502km",리스월88만원/47개월
테슬라 모델 Y 롱 레인지,22/05식,"54,600km",렌트월155만원/25개월
재규어 I-PACE EV400 퍼스트 에디션,19/12식,"58,976km","4,400만원"
기아 K8 하이브리드 노블레스,21/08식,"36,341km","3,380만원"
기아 K8 하이브리드 노블레스,22/06식,"26,500km",리스월50만원/39개월
기아 K8 하이브리드 시그니처,22/11식,"22,000km",렌트월80만원/31개월
테슬라 모델 Y 스탠다드 레인지,21/09식,"51,880km",리스월74만원/28개월
쉐보레(GM대우) 스파크 LPG LS 기본형,12/04식,"130,000km",150만원
벤츠 EQE V295 EQE350 4MATIC,23/03식,"29,868km",리스월124만원/47개월
기아 올 뉴 K7 하이브리드 노블레스,19/04식,"93,100km","1,600만원"
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/06식,"89,000km","2,580만원"
벤츠 EQE V295 EQE300,23/06식,"9,000km","6,300만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,20/07식,"26,000km",리스월245만원/31개월
테슬라 모델 3 스탠다드 레인지 플러스,20/06식,"73,000km","3,550만원"
BMW i8 쿠페,15/10식,"83,000km","99,990만원"
BMW i8 로드스터,19/12식,"41,000km",리스월170만원/13개월
기아 그랜드 카니발 LPI GLX 기본형,09/04식,"148,000km",750만원
BMW i8 쿠페,15/05식,"112,000km",리스월141만원/11개월
BMW 3시리즈 (G20) 320e M 스포츠,22/03식,"25,000km",리스월76만원/35개월
기아 EV6 롱레인지 에어,23/03식,"13,000km",렌트월81만원/48개월
BMW iX xDrive40 퍼스트에디션,21/11식,"28,000km",리스월108만원/45개월
기아 EV6 롱레인지 에어,21/11식,"51,500km",렌트월50만원/21개월
테슬라 모델 Y 롱 레인지,22/09식,"14,000km","7,000만원"
포르쉐 파나메라 (971) 2.9 AWD E-하이브리드,20/03식,"38,000km","12,500만원"
미니 쿠퍼 일렉트릭 레솔루트 에디션 1세대,23/07식,"10,150km","3,300만원"
현대 아이오닉5 롱레인지 AWD 익스클루시브,21/08식,"36,500km",렌트월60만원
기아 EV6 롱레인지 4WD GT Line,23/09식,"23,000km",렌트월89만원
BMW i8 쿠페,17/01식,"60,000km","7,900만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/06식,"14,500km",리스월181만원
포르쉐 타이칸 4S,21/03식,"21,900km","12,800만원"
BMW i8 쿠페,16/10식,"32,000km","8,900만원"
쉐보레(GM대우) 볼트 EV EV 프리미어,19/05식,"105,000km","1,680만원"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/10식,"36,000km",리스월105만원
벤츠 EQB X243 EQB300 4MATIC AMG 라인,23/06식,"21,000km",리스월92만원
현대 그랜저 HG 하이브리드 프리미엄 컬렉션,14/05식,"215,255km",799만원
제네시스 GV60 퍼포먼스 AWD (세부등급 없음),22/03식,"25,800km","5,900만원"
현대 그랜저 하이브리드 (GN7) 캘리그래피,23/09식,"7,900km",렌트월83만원
테슬라 모델 Y 롱 레인지,22/12식,"15,000km","6,200만원"
테슬라 모델 3 롱 레인지,20/06식,"71,000km",렌트월89만원
폴스타 폴스타 2 롱레인지 싱글모터,22/07식,"60,024km","3,803만원"
쉐보레(GM대우) 올란도 LPG LT 컨비니언스팩,15/04식,"112,000km",720만원
포르쉐 타이칸 GTS,22/11식,"13,300km",리스월322만원
현대 LF 쏘나타 하이브리드 2.0 HEV 모던 스페셜,15/03식,"136,000km","1,080만원"
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/02식,"51,000km","3,390만원"
BMW i5 (G60) eDrive 40 M 스포츠 프로,23/12식,"4,500km",리스월138만원
테슬라 모델 3 스탠다드 레인지 플러스,19/11식,"57,000km","3,250만원"
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,23/03식,"23,000km",렌트월146만원
렉서스 ES300h 7세대 럭셔리 플러스,23/02식,"34,600km","5,080만원"
테슬라 모델 X 롱 레인지,19/12식,"98,500km","6,850만원"
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/05식,"72,000km",리스월133만원
BMW 5시리즈 (G30) 530e M 스포츠,22/09식,"34,000km",리스월96만원
현대 아이오닉 일렉트릭 Q,19/08식,"92,500km","1,350만원"
현대 더 뉴 투싼 하이브리드 (NX4) HEV 1.6 2WD 프리미엄,23/02식,"27,000km",렌트월74만원
제네시스 일렉트리파이드 GV70 e-AWD,22/04식,"33,000km",렌트월141만원
벤츠 GLC-클래스 X253 GLC300e 4MATIC 쿠페,21/05식,"31,000km","5,900만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/05식,"20,842km","4,290만원"
현대 아이오닉6 롱레인지 AWD 프레스티지,23/03식,"6,500km",렌트월85만원
렉서스 뉴 ES300h 슈프림+ XV60,18/06식,"76,000km","3,245만원"
현대 아이오닉5 롱레인지 AWD 익스클루시브,22/07식,"23,000km",렌트월72만원
테슬라 모델 Y 롱 레인지,23/06식,"10,000km","7,200만원"
현대 더 뉴 싼타페 HEV 1.6 2WD 익스클루시브,23/11식,"31,400km",렌트월89만원
제네시스 일렉트리파이드 G80 (RG3) e-AWD,22/10식,"7,420km","7,480만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드,21/02식,"55,000km",리스월214만원
도요타 시에나 4세대 2.5 하이브리드 2WD,22/03식,"56,000km","5,180만원"
BMW X5 (G05) xDrive 45e M 스포츠,22/02식,"32,500km",리스월132만원
기아 더 뉴 카니발 4세대 HEV 9인승 노블레스,24/04식,800km,렌트월74만원
현대 더 뉴 그랜저 IG 하이브리드 캘리그래피,20/03식,"46,700km","3,580만원"
테슬라 모델 3 스탠다드 레인지 플러스,22/09식,"20,000km","3,900만원"
볼보 XC60 2세대 T8 인스크립션,21/05식,"16,870km","6,300만원"
기아 쏘렌토 4세대 HEV 1.6 2WD 노블레스,23/05식,"18,063km",렌트월65만원
현대 투싼 하이브리드 (NX4) N Line 2WD 인스퍼레이션,22/01식,"34,000km","3,500만원"
기아 EV6 롱레인지 에어,21/10식,"43,000km","3,100만원"
기아 디 올 뉴 니로 시그니처,23/03식,"18,450km",렌트월68만원
BMW 5시리즈 (G30) 530e M 스포츠,20/12식,"27,556km",리스월1만원
기아 K5 LPI 디럭스,13/03식,"178,968km",440만원
BMW 3시리즈 (G20) 330e M 스포츠,23/01식,"17,700km",리스월101만원
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,20/08식,"28,000km",리스월44만원
기아 스포티지 5세대 하이브리드 시그니처 그래비티 2WD,23/07식,"8,000km",렌트월59만원
BMW 7시리즈 (G11) 745Le i퍼포먼스 M 스포츠,22/07식,"37,700km",리스월194만원
BMW iX3 M 스포츠,23/09식,"10,200km","6,200만원"
테슬라 모델 3 퍼포먼스,22/06식,"22,600km",리스월95만원
기아 더 뉴 K5 LPI 디럭스,15/01식,"99,960km",670만원
기타 제조사 기타 기타 전기차,20/11식,"17,000km",280만원
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,19/04식,"53,000km","2,600만원"
르노코리아(삼성) SM7 노바 LPLI 2.0 LPe 장애인용,16/07식,"113,700km",790만원
현대 더 뉴 그랜저 IG 하이브리드 르블랑,21/09식,"39,000km",렌트월61만원
테슬라 모델 X AWD,23/06식,"21,800km",리스월197만원
벤츠 EQE V295 EQE350 4MATIC,23/12식,"6,900km",리스월111만원
르노코리아(삼성) SM3 Z.E. SE,18/04식,"88,228km",800만원
기아 쏘렌토 4세대 HEV 1.6 2WD 그래비티,22/04식,"32,260km",렌트월68만원
아우디 Q4 e-트론 40 프리미엄 스포트백,22/11식,"14,500km",리스월87만원
BMW iX3 M 스포츠,22/07식,"49,000km","4,600만원"
기아 스포티지 5세대 하이브리드 노블레스 2WD,24/01식,"5,010km",렌트월57만원
기아 더 뉴 K5 LPI 럭셔리,14/04식,"192,500km",650만원
포르쉐 타이칸 베이스,22/02식,"29,142km",리스월209만원
렉서스 CT200h 1.8 컴팩트 럭셔리 ZWA10,11/02식,"190,000km",899만원
BMW i4 eDrive40 M 스포츠,23/10식,"14,000km",리스월86만원
기아 EV9 에어 4WD,24/03식,"1,399km","6,740만원"
현대 그랜저 IG 하이브리드 익스클루시브 (세부등급 없음),18/07식,"96,829km","2,300만원"
기아 EV6 롱레인지 GT Line,22/04식,"31,413km",리스월51만원
현대 그랜저 하이브리드 (GN7) 익스클루시브,23/07식,"16,000km",렌트월94만원
기타 제조사 기타 기타 전기차,20/11식,"57,000km",700만원
르노코리아(삼성) 뉴SM5 플래티넘 LPLI 택시렌터카 고급형,13/03식,"100,800km",410만원
테슬라 모델 3 롱 레인지,22/09식,"19,512km","4,800만원"
아우디 Q4 e-트론 40 프리미엄,23/11식,"5,500km",리스월100만원
기아 레이 EV,12/12식,"29,500km",590만원
볼보 S90 T8 AWD 얼티메이트 브라이트,22/12식,"27,000km","6,700만원"
테슬라 모델 Y 롱 레인지,21/09식,"52,580km","5,900만원"
테슬라 모델 X 롱 레인지,23/06식,"14,000km",리스월172만원
도요타 캠리 (XV70) 2.5 XLE 하이브리드,21/09식,"46,000km",리스월73만원
테슬라 모델 3 롱 레인지,22/05식,"42,000km","4,600만원"
렉서스 ES300h 7세대 럭셔리 플러스,23/05식,"25,000km","5,400만원"
BMW i8 쿠페,15/12식,"96,000km","6,750만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페 플래티넘 에디션,23/03식,"11,395km","15,500만원"
아우디 Q4 e-트론 40 프리미엄,22/10식,"38,600km","4,490만원"
벤츠 EQS V297 EQS350,22/07식,"10,300km","8,700만원"
기아 K8 하이브리드 시그니처 스페셜,23/06식,"8,300km","4,500만원"
포르쉐 카이엔 (PO536) 3.0 E-하이브리드 쿠페,22/02식,"38,000km",리스월206만원
